id;date_recorded;collection_size;number_of_titles;stock_for_public_usage;titles_availability_for_population;titles_availability_for_active_members
1;2024-04-21;5477;11374;16694;8229;9173
2;2024-04-22;1749;23719;22876;1755;29558
3;2024-04-22;31158;303;11229;11148;11424
4;2024-04-21;28278;5029;15753;3050;2241
5;2024-04-22;12546;4524;18339;3929;29112
6;2024-04-22;12807;9800;8789;30506;14263
7;2024-04-21;24980;27333;2846;26181;15378
8;2024-04-21;7507;14728;13719;19013;13716
9;2024-04-22;8354;31307;3993;26064;30564
10;2024-04-22;9787;1490;32599;17552;26614
